id,productName,productBarcode,productCost,productPrice,productDescription,productPicturePath,productSuperBarcode,productChildBarcode,productQuantity,productDiscountValue,productNumberOfChild,productPromotion,productAddDate,productLatsEditDate,new_tablecol,productOldCost,productOldPrice,buyFrom
24,LMแดงใหญ่,76164040,93.2,98,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
25,LMเขียวใหญ่,76164064,927,98,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
26,LMแดงเล็ก,95509730,56.2,60,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
27,LMเขียวเล็ก,95509747,56.2,60,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
28,สินค้าราคา1บาท,00001,1,1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
29,สินค้าราคา2บาท,00002,2,2,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
30,สินค้าราคา3บาท,00003,3,3,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
31,สินค้าราคา4บาท,00004,4,4,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
32,สินค้าราคา5บาท,00005,5,5,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
33,สินค้าราคา6บาท,00006,6,6,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
34,สินค้าราคา7บาท,00007,7,7,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
35,น้ำแข็งยูนิต,0000007,4,7,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
